Sub,ACTIVE,PERCEPTUAL,MUSICAL,SINGING,EMOTIONS,GENERAL,inst,Age,Gender,Major,Minor,SchoolUGorG,MuscMajMinor,BeginTrain,AbsPitch,YearsPrac,PeakPrac,Live12Mo,TheoryTrain,FormalYrs,NoOfInst,ActListenMin,SubjectNo,SubRaven,RavenB1,RavenB2,RavenB3,RavenTotal,OspanSub,OspanAccError,OspanMathError,OspanAbsoluteScore,OspanPartialScore,OspanB1,OspanB2,OspanB3,OspanSpeedErrTot,SymSub,SymAccErrTot,SymSpeedErrTot,SspanAbsScore,SspanPartiaScore,SspanB1,SspanB2,SspanB3,SymmErrTot,ToneSub,ToneAccErrTot,ToneMathErrTot,TspanAbsScore,TspanPartScore,TspanB1,TspanB2,TspanB3,ToneSpeedErrTot,BeatSub,BeatTotal,BeatAcc,MelodicSub,MelodicTot,MelodicAcc,Native,Paid,jv_NoGMSI,jv_nonNative,jv_noOspan
97,31,42,29,23,30,71,flute,20,female,mass communications,psychology,1,1,10,no,2,2,3,0,3,1,20,97,97,5,5,6,16,97,7,10,7,24,8,10,6,3,97,6,4,5,10,5,1,4,10,97,1,2,16,48,19,15,14,1,97,9,0.5,97,7,0.54,1,1,0,0,0
98,47,55,31,41,38,101,voice,20,MALE,Computer Science,Math,1,1,10,NO,10,2,2,2,2,1,60,98,98,9,8,11,28,98,6,15,22,31,13,11,7,9,98,0,0,26,37,12,13,12,0,98,1,3,48,59,18,20,21,2,98,11,0.61,98,9,0.69,1,1,0,0,0
99,50,33,10,31,35,64,voice,19,FEMALE,SOCIOLOGY,NA,1,1,9,NO,1,1,3,0,0,0,180,99,99,8,7,5,20,99,10,14,34,65,21,22,22,4,99,1,0,7,22,10,10,2,1,99,3,4,20,51,21,12,18,1,99,10,0.56,99,6,0.46,1,1,0,0,0
100,28,38,19,24,33,60,piano,21,FEMALE,BIOLOGY,NA,1,1,14,NO,2,1,0,1,2,1,60,100,100,8,8,8,24,100,7,10,31,46,19,14,13,3,100,2,0,35,39,13,12,14,2,100,4,9,48,63,19,22,22,5,100,13,0.72,100,8,0.62,1,1,0,0,0
101,54,43,15,21,38,74,Piano,20,MALE,Psychology,NA,1,1,17,NO,2,2,3,0,0,1,360,101,101,10,9,10,29,101,4,4,57,68,21,25,22,0,101,0,0,35,40,14,12,14,0,101,2,3,45,63,21,22,20,1,101,12,0.67,101,9,0.69,1,1,0,0,0
102,37,34,20,14,35,52,guitar,20,FEMALE,Physical therapy kin major,NA,1,1,11,NO,1,3,4,2,1,1,50,102,102,8,8,8,24,102,5,7,19,38,11,8,19,2,102,5,0,9,25,8,9,8,5,102,4,4,17,42,15,19,8,0,102,13,0.72,102,4,0.31,1,1,0,0,0
103,55,43,12,19,38,61,TYPEWRITER,21,m,tHEATRE,eNGLISH,1,1,,NO,0,0,4,1,1,0,240,103,103,6,7,9,22,103,7,15,32,50,13,23,14,8,103,5,8,14,27,11,7,9,13,103,8,13,15,35,8,11,16,5,103,12,0.67,103,6,0.46,1,1,0,0,0
104,20,42,7,24,28,42,none,18,female,psychology,NA,1,1,,no,0,0,5,0,0,0,45,104,104,9,7,7,23,104,6,7,53,62,21,23,18,1,104,1,0,19,33,10,10,13,1,104,4,5,27,59,22,20,17,1,104,11,0.61,104,8,0.62,1,1,0,0,0
105,39,61,31,40,39,101,piano,18,male,Film,NA,1,1,12,no,8,2,3,0,3,1,45,105,105,8,8,8,24,105,10,10,7,25,8,9,8,0,105,3,0,9,18,6,7,5,3,105,7,8,0,18,4,9,5,1,105,10,0.56,105,8,0.62,1,1,0,0,0
106,55,55,42,35,40,105,trumpet,20,FEMALE,Music Education,NA,1,2,6,NO,11,2,10,3,15,3,180,106,106,10,9,9,28,106,3,4,40,53,15,17,21,1,106,1,1,20,27,10,7,10,2,106,5,6,22,47,19,17,11,1,106,16,0.89,106,7,0.54,1,1,0,0,0
107,53,49,40,33,38,101,clarinet,23,FEMALE,Music Education,Communication Studies,1,2,14,NO,8,3,5,4,5,4,60,107,107,8,9,6,23,107,2,4,18,44,18,15,11,2,107,1,0,20,30,13,6,11,1,107,2,4,37,61,19,23,19,2,107,10,0.56,107,11,0.85,1,1,0,0,0
108,53,60,26,32,40,94,Piano,24,Female,Individualized Studies and Child and Family Studies,NA,1,1,8,no,16,2,2,0,0,1,720,108,108,8,7,5,20,108,4,8,48,63,23,24,16,4,108,4,1,21,31,10,14,7,5,108,6,10,37,63,17,23,23,4,108,12,0.67,108,10,0.77,1,1,0,0,0
109,41,35,14,25,37,59,clarinet,23,female,interdisciplinary studies,cmst,1,1,11,no,1,1,5,0,1,1,60,109,109,7,4,7,18,109,2,3,57,70,23,24,23,1,109,0,0,23,35,11,11,13,0,109,7,8,13,41,10,17,14,1,109,12,0.67,109,10,0.77,1,1,0,0,0
110,48,41,7,34,34,62,none maybe voice,19,FEMALE,psychology,sociology,1,1,,NO,0,0,7,0,0,0,60,110,110,10,9,11,30,110,1,2,44,62,22,19,21,1,110,1,2,19,30,9,10,11,3,110,3,4,28,50,15,16,19,1,110,10,0.56,110,10,0.77,1,1,0,0,0
111,35,40,13,31,33,64,voice,21,FEMALE,psychology,biology,1,1,,no,0,0,3,0,0,0,60,111,111,4,4,5,13,111,4,7,36,59,21,18,20,3,111,6,3,5,18,8,1,9,9,111,8,10,8,32,12,11,9,2,111,12,0.67,111,5,0.38,1,1,0,0,0
112,51,55,41,45,38,116,Trumpet,20,MALE,MUSIC EDUCATION,NA,1,2,12,NO,6,3,6,2,2,11,45,112,112,9,8,9,26,112,7,10,45,64,20,20,24,3,112,1,0,25,33,10,14,9,1,112,3,3,63,71,25,23,23,0,112,16,0.89,112,13,1,1,1,0,0,0
113,42,48,26,29,34,77,piano,18,female,prenursing,NA,1,1,6,no,3,2,5,3,5,1,60,113,113,10,9,8,27,113,5,10,38,59,23,20,16,5,113,2,1,21,29,8,11,10,3,113,3,7,51,58,18,25,15,4,113,11,0.61,113,8,0.62,1,1,0,0,0
114,31,43,25,26,27,65,flute,20,FEMALE,Psychology,NA,1,1,10,NO,4,3,0,1,3,1,60,114,114,9,10,11,30,114,4,5,52,69,25,23,21,1,114,1,0,27,36,12,12,12,1,114,3,3,56,69,23,23,23,0,114,11,0.61,114,7,0.54,1,1,0,0,0
115,43,61,37,41,41,104,voice,2,MALE,Vocal Performance,NA,1,2,14,NO,6,2,5,3,6,1,30,115,115,8,9,7,24,115,5,8,43,52,20,14,18,3,115,1,1,16,27,9,8,10,2,115,4,5,34,52,17,22,13,1,115,16,0.89,115,6,0.46,1,1,0,0,0
116,56,62,38,46,42,114,French Horn,24,MALE,Music Performance Physics,NA,1,2,8,NO,10,6,12,6,6,3,120,116,116,9,9,9,27,116,5,7,14,36,12,9,15,2,116,0,0,22,33,8,11,14,0,116,0,1,61,72,25,23,24,1,116,15,0.83,116,10,0.77,1,1,0,0,0
117,49,50,35,42,36,101,voice,20,male,BM,NA,1,1,13,no,6,2,15,4,10,2,30,117,117,6,8,6,20,117,13,14,50,63,20,20,23,1,117,3,0,13,29,10,9,10,3,117,12,13,48,64,17,23,24,1,117,12,0.67,117,13,1,2,1,0,1,0
118,51,59,42,39,41,107,oboe,22,FEMALE,BACHELOR OF ARTS, GENERAL BUSINESS,1,1,12,NO,10,2,6,4,9,4,60,118,118,11,10,11,32,118,2,3,75,75,25,25,25,1,118,1,0,20,29,9,8,12,1,118,5,5,44,66,18,24,24,0,118,16,0.89,118,9,0.69,1,1,0,0,0
119,43,52,37,41,36,99,Voice,22,MALE,Vocal Performance,NA,1,2,8,NO,6,2,4,4,4,2,90,119,119,9,9,9,27,119,13,41,11,31,7,6,18,28,119,0,2,28,37,11,13,13,2,119,6,10,11,42,15,14,13,4,119,13,0.72,119,6,0.46,1,1,0,0,0
120,55,58,46,41,41,117,flute,20,female,MUED,NA,1,2,11,no,11,7,10,3,6,6,120,120,120,7,7,5,19,120,5,7,6,16,7,1,8,2,120,1,0,4,16,9,4,3,1,120,2,5,12,39,13,14,12,3,120,15,0.83,120,11,0.85,1,1,0,0,0
121,62,63,43,49,42,122,voice,20,female,Vocal Performance,NA,1,2,8,no,12,5,8,6,8,2,500,121,121,8,9,6,23,121,7,10,42,58,20,18,20,3,121,3,0,30,33,11,13,9,3,121,7,9,41,60,15,22,23,2,121,13,0.72,121,8,0.62,1,1,0,0,0
122,47,57,40,42,38,104,oboe,20,female,music performance,psychology,1,2,14,no,6,3,2,3,6,2,180,122,122,8,5,5,18,122,8,9,43,55,13,19,23,1,122,4,0,15,30,8,10,12,4,122,4,5,55,68,21,25,22,1,122,8,0.44,122,8,0.62,1,1,0,0,0
123,50,53,42,41,33,109,voice,23,Male,vocal performance,NA,1,2,11,no,10,2,20,7,12,1,30,123,123,9,8,9,26,123,2,6,53,70,24,22,24,4,123,2,1,24,32,10,10,12,3,123,6,6,62,69,19,25,25,0,123,16,0.89,123,9,0.69,1,1,0,0,0
124,21,30,10,8,18,24,None,25,FEMALE,PSYCHOLOGY Graduate,,2,1,8,NO,0,0,1,0,2,0,0,124,124,10,7,7,24,124,3,3,37,63,17,22,24,0,124,1,0,17,31,12,10,9,1,124,4,4,18,38,16,11,11,0,124,11,0.61,124,9,0.69,1,1,0,0,0
125,44,55,13,42,39,89,voice,21,FEMALE,Anthropology,,1,1,,NO,0,0,3,0,0,0,30,125,125,10,9,9,28,125,3,7,37,44,7,17,20,4,125,1,0,23,35,11,11,13,1,125,5,10,34,51,17,18,16,5,125,12,0.67,125,10,0.77,1,1,0,0,0
126,48,51,11,34,39,78,none,17,FEMALE,BIOLOGICAL SCIENCES,,1,1,,NO,0,0,2,0,0,0,90,126,126,9,10,7,26,126,3,10,30,50,20,13,17,7,126,1,0,22,27,12,9,6,1,126,6,11,4,39,12,14,13,5,126,13,0.72,126,3,0.23,1,1,0,0,0
127,33,41,14,20,29,55,none,19,FEMALE,Elementary Education,,1,1,10,NO,2,1,1,0,2,0,5,127,127,9,8,8,25,127,3,3,56,71,25,24,22,0,127,0,0,24,30,10,6,14,0,127,4,5,28,50,15,18,17,1,127,10,0.56,127,11,0.85,1,1,0,0,0
128,49,42,17,27,35,69,Trumpet,20,Male,Psychology,Political Science,1,1,13,no,1,0,1,5,5,0,500,128,128,4,4,6,14,128,3,6,53,67,23,23,21,3,128,0,1,17,25,10,5,10,1,128,1,3,24,56,20,19,17,2,128,14,0.78,128,4,0.31,1,1,0,0,0
129,30,38,10,22,32,45,vioin,22,FEMALE,Biology,Leadership Development,1,1,13,NO,0,0,0,0,2,0,30,129,129,5,5,6,16,129,5,6,45,57,15,23,19,1,129,4,1,7,24,9,12,3,5,129,3,4,16,39,7,12,20,1,129,10,0.56,129,6,0.46,1,1,0,0,0
130,42,60,31,43,33,96,Voice,18,FEMALE,Biological Sciences and Athletic Training,Business and Graphic Design,1,1,5,no,12,2,6,0,12,3,180,130,130,10,9,10,29,130,3,4,65,70,24,21,25,1,130,0,0,37,39,11,14,14,0,130,14,16,25,53,17,16,20,2,130,10,0.56,130,5,0.38,1,1,0,0,0
131,38,46,27,32,31,82,voice,20,MALE,PSYCHOLOGY,CHEMISTRY,1,1,15,NO,5,3,3,0,1,0,20,131,131,10,10,11,31,131,3,4,56,67,23,24,20,1,131,1,2,23,30,11,10,9,3,131,2,2,34,57,18,20,19,0,131,10,0.56,131,10,0.77,1,1,0,0,0
132,30,44,10,30,29,60,none,17,FEMALE,NURSING,,1,1,,NO,0,0,0,0,0,0,0,132,132,7,7,5,19,132,4,5,24,55,18,19,18,1,132,3,1,7,21,5,11,5,4,132,6,6,12,34,12,12,10,0,132,8,0.44,132,7,0.54,1,1,0,0,0
133,58,59,43,34,39,105,Saxophone,19,male,Computer Science,,1,1,11,NO,9,7,10,4,7,3,180,133,133,11,10,8,29,133,3,3,62,71,25,25,21,0,133,1,0,28,36,11,13,12,1,133,3,4,39,65,22,22,21,1,133,12,0.67,133,9,0.69,1,1,0,0,0
134,32,59,18,32,34,84,NA,20,FEMALE,PSYCHOLOGY,,1,1,8,NO,1,1,3,0,1,0,1,134,134,7,8,6,21,134,4,4,34,63,20,19,24,0,134,5,0,34,40,13,14,13,5,134,5,5,14,44,14,17,13,0,134,13,0.72,134,12,0.92,1,1,0,0,0
136,55,46,25,31,39,93,voice,20,FEMALE,Interior Design,Fine Arts,1,1,12,No,4,2,1,0,4,1,150,136,136,9,8,9,26,136,3,3,4,21,4,6,11,0,136,0,0,9,25,9,9,7,0,136,4,6,19,43,17,10,16,2,136,14,0.78,136,7,0.54,1,1,0,0,0
137,42,51,11,30,36,71,drums,18,MALE,PREMED,,1,1,10,NO,0,0,7,0,0,0,60,137,137,9,7,8,24,137,3,4,31,53,17,14,22,1,137,4,1,29,36,9,14,13,5,137,4,4,8,36,11,12,13,0,137,12,0.67,137,8,0.62,1,1,0,0,0
138,36,51,15,35,35,73,voice,23,FEMALE,psychology,none,1,1,9,NO,0,0,3,0,1,0,30,138,138,8,7,7,22,138,11,14,8,23,4,6,13,3,138,2,1,16,27,7,13,7,3,138,10,11,0,29,10,12,7,1,138,10,0.56,138,10,0.77,1,1,0,0,0
139,39,59,46,46,39,112,voice,22,FEMALE,UNDECIDED,,1,1,6,no,11,2,3,4,10,9,20,139,139,8,9,9,26,139,5,7,31,47,16,18,13,2,139,5,1,14,27,11,7,9,6,139,5,6,58,63,16,22,25,1,139,13,0.72,139,3,0.23,1,1,0,0,0
140,36,50,36,34,32,85,pianonpiano,19,FEMALE,BIOLOGY,,1,1,7,NO,7,1,1,7,7,3,45,140,140,9,9,9,27,140,10,11,3,18,12,5,1,1,140,4,0,9,21,8,8,5,4,140,2,4,10,29,9,7,13,2,140,11,0.61,140,8,0.62,1,1,0,0,0
141,36,44,33,32,34,82,Violin,22,Female,Anthropology,,1,1,10,no,8,2,0,2,9,2,60,141,141,6,8,6,20,141,5,11,16,56,21,18,17,6,141,1,1,20,29,13,8,8,2,141,14,16,47,61,19,23,19,2,141,10,0.56,141,10,0.77,1,1,0,0,0
142,35,47,9,15,28,42,PIANO,22,FEMALE,PSYCHOLOGY,,1,1,6,NO,0,0,1,0,1,0,75,142,142,7,6,7,20,142,3,3,36,59,21,22,16,0,142,1,1,9,23,10,8,5,2,142,4,8,6,32,12,8,12,4,142,11,0.61,142,5,0.38,1,1,0,0,0
143,39,47,28,33,32,80,HARMONICA,19,FEMALE,EDUCATION,PSYCHOLOGY,1,1,8,NO,3,1,1,3,3,2,180,143,143,9,7,11,27,143,10,11,14,33,17,6,10,1,143,8,0,5,11,3,6,2,8,143,7,7,10,32,9,13,10,0,143,12,0.67,143,6,0.46,1,1,0,0,0
144,23,43,13,28,31,57,none,17,female,biology,,1,1,,no,0,0,0,0,0,0,0,144,144,8,6,6,20,144,3,3,39,57,21,18,18,0,144,12,1,10,22,8,8,6,13,144,3,4,4,37,8,15,14,1,144,8,0.44,144,8,0.62,1,1,0,0,0
145,38,46,28,25,33,75,guitar,21,female,psychology,,1,1,16,no,3,4,1,2,3,1,60,145,145,6,6,8,20,145,4,4,0,10,3,3,4,0,145,5,0,0,5,2,2,1,5,145,8,10,14,33,8,12,13,2,145,12,0.67,145,9,0.69,1,1,0,0,0
146,38,47,15,32,34,75,voice,18,FEMALE,Kinesiology,,1,1,,NO,0,0,2,0,0,0,60,146,146,8,8,8,24,146,2,5,55,68,19,24,25,3,146,2,0,42,42,14,14,14,2,146,2,3,33,63,20,21,22,1,146,13,0.72,146,12,0.92,1,1,0,0,0
147,45,44,7,20,37,51,none,20,FEMALE,HISTORY,PSYCHOLOGY,1,1,,NO,0,0,2,0,0,0,120,147,147,9,10,11,30,147,2,6,50,65,22,24,19,4,147,0,0,40,41,14,14,13,0,147,4,7,38,59,19,18,22,3,147,11,0.61,147,11,0.85,1,1,0,0,0
148,30,37,7,20,28,49,none,19,FEMALE,BIOLOGY,PSYCHOLOGY AND BUSINESS,1,1,,NO,0,0,1,0,0,0,30,148,148,10,9,10,29,148,4,7,23,50,15,17,18,3,148,3,1,12,23,5,9,9,4,148,2,3,19,49,14,16,19,1,148,12,0.67,148,9,0.69,1,1,0,0,0
149,27,48,36,35,32,90,timpani,18,MALE,Computer Engineering,,1,1,11,NO,6,3,0,0,6,5,45,149,149,9,9,10,28,149,3,6,61,70,23,25,22,3,149,2,0,27,34,10,13,11,2,149,3,5,38,58,23,15,20,2,149,14,0.78,149,11,0.85,1,1,0,0,0
150,47,59,30,37,40,102,voice,18,MALE,Biochemistry ,Music,1,2,12,NO,6,2,3,0,2,0,30,150,150,5,7,6,18,150,7,8,34,54,16,14,24,1,150,4,0,24,30,11,11,8,4,150,4,4,22,56,18,20,18,0,150,12,0.67,150,7,0.54,1,1,0,0,0
151,45,47,14,23,36,64,piano,19,FEMALE,PHILOSOPHY,TEXTILES,1,1,7,NO,0,0,7,0,2,0,60,151,151,9,10,7,26,151,7,7,47,66,23,22,21,0,151,3,1,23,28,9,8,11,4,151,7,12,10,37,14,12,11,5,151,16,0.89,151,5,0.38,1,1,0,0,0
152,25,35,7,15,26,33,none,20,FEMALE,Psychology,,1,1,,NO,0,0,1,0,0,0,60,152,152,9,10,9,28,152,4,4,49,68,21,24,23,0,152,2,1,20,29,11,7,11,3,152,4,6,19,54,17,18,19,2,152,11,0.61,152,5,0.38,1,1,0,0,0
153,50,44,30,39,33,88,Piano,18,MALE,BIOLOGY,,1,1,4,No,14,2,3,1,14,4,120,153,153,11,9,8,28,153,8,10,55,71,23,25,23,2,153,1,0,11,29,10,6,13,1,153,6,6,28,59,15,21,23,0,153,10,0.56,153,7,0.54,1,1,0,0,0
154,44,52,36,40,29,94,voice,22,Male,Kinesiology,,1,1,7,No,11,1,3,4,6,1,90,154,154,7,5,5,17,154,6,6,22,47,14,19,14,0,154,3,0,17,31,9,12,10,3,154,5,7,3,25,8,6,11,2,154,8,0.44,154,6,0.46,1,1,0,0,0
155,48,59,26,33,42,89,piano,22,FEMALE,Psychology,Computer Technology,1,1,7,NO,8,1,2,0,8,1,60,155,155,9,8,7,24,155,7,9,25,40,12,14,14,2,155,12,1,6,18,5,6,7,13,155,3,4,23,44,15,16,13,1,155,11,0.61,155,9,0.69,1,1,0,0,0
156,39,48,15,36,29,79,voice,18,female,biochemistry,,1,1,,no,0,0,0,0,0,0,90,156,156,10,7,9,26,156,4,13,39,54,20,21,13,9,156,4,1,14,24,4,10,10,5,156,2,8,24,46,10,15,21,6,156,7,0.39,156,8,0.62,1,1,0,0,0
157,18,39,19,30,27,56,percussion,25,FEMALE,GRADUATE PSYCHOLOGY,,2,1,10,NO,0,0,1,0,3,2,20,157,157,9,9,11,29,157,3,3,17,30,12,8,10,0,157,0,0,23,31,11,9,11,0,157,2,2,18,42,11,18,13,0,157,15,0.83,157,8,0.62,1,1,0,0,0
158,30,44,33,25,27,73,saxophone,18,MALE,BIOLOGY,,1,1,10,NO,5,2,0,1,5,2,30,158,158,11,10,12,33,158,1,2,43,67,24,23,20,1,158,1,2,27,31,12,9,10,3,158,1,1,47,62,15,22,25,0,158,14,0.78,158,9,0.69,1,1,0,0,0
159,30,58,31,28,35,76,Piano,21,FEMALE,KINESIOLOGY,PSYCHOLOGY,1,1,12,NO,3,2,3,1,3,2,40,159,159,7,3,6,16,159,3,5,34,61,19,23,19,2,159,5,1,15,26,10,6,10,6,159,7,8,16,49,13,16,20,1,159,7,0.39,159,11,0.85,1,1,0,0,0
160,30,43,18,29,25,60,guitar,18,FEMALE,UNDECIDED,,1,1,10,NO,3,1,2,0,3,1,30,160,160,8,8,7,23,160,3,4,55,70,25,22,23,1,160,0,0,28,37,11,13,13,0,160,1,2,42,61,19,20,22,1,160,12,0.67,160,8,0.62,1,1,0,0,0
161,30,45,8,28,33,55,na,18,FEMALE,UNDECIDED,,1,1,,NO,0,0,4,0,0,0,0,161,161,7,6,4,17,161,7,9,49,64,20,21,23,2,161,1,0,14,28,6,14,8,1,161,6,8,23,42,8,17,17,2,161,11,0.61,161,5,0.38,1,1,0,0,0
162,51,59,39,40,41,107,percussion,18,FEMALE,Psychology,Spanish,1,1,12,no,7,2,2,6,7,1,240,162,162,11,8,10,29,162,2,3,63,71,25,21,25,1,162,0,1,33,38,11,14,13,1,162,3,7,52,69,22,23,24,4,162,14,0.78,162,9,0.69,1,1,0,0,0
163,44,40,27,23,30,71,clarinet,18,MALE,PRENURSING,,1,1,12,NO,4,2,10,0,4,1,60,163,163,10,9,9,28,163,7,7,37,64,22,23,19,0,163,0,0,27,37,11,13,13,0,163,5,5,46,59,18,17,24,0,163,13,0.72,163,8,0.62,1,1,0,0,0
164,32,42,29,27,24,66,PIANO,18,FEMALE,KINESIOLOGY,,1,1,6,NO,5,2,4,3,5,1,45,164,164,8,5,8,21,164,3,6,7,39,15,15,9,3,164,5,1,6,18,5,7,6,6,164,3,3,29,53,19,21,13,0,164,11,0.61,164,9,0.69,1,1,0,0,0
165,39,46,19,28,36,66,piano,19,male,biology,psychology,1,1,14,no,2,1,2,1,2,1,60,165,165,9,9,12,30,165,1,3,20,44,12,20,12,2,165,1,1,6,21,6,7,8,2,165,5,6,21,57,18,19,20,1,165,11,0.61,165,9,0.69,1,1,0,0,0
166,40,49,37,29,36,84,piano,19,FEMALE,PreNursing,,1,1,7,NO,8,2,2,8,8,1,30,166,166,11,9,9,29,166,4,4,61,73,25,24,24,0,166,1,0,14,25,8,8,9,1,166,2,2,23,59,18,18,23,0,166,12,0.67,166,9,0.69,1,1,0,0,0
167,38,34,7,21,31,47,voice,18,FEMALE,Psychology,,1,1,,Non,0,0,3,0,0,0,480,167,167,6,8,5,19,167,3,4,40,64,20,24,20,1,167,5,1,23,29,9,11,9,6,167,5,6,25,55,13,23,19,1,167,13,0.72,167,9,0.69,1,1,0,0,0
168,40,45,39,41,28,92,Piano,22,FEMALE,DIGITAL ART,AVATAR,1,1,6,YES,12,6,2,12,12,3,30,168,168,8,9,8,25,168,4,6,48,66,23,20,23,2,168,5,3,25,31,11,13,7,8,168,7,8,54,69,24,23,22,1,168,16,0.89,168,10,0.77,2,1,0,1,0
169,32,32,7,20,31,40,air drums,18,male,kinesiology,,1,1,18,NO,0,0,3,0,0,0,120,169,169,8,8,7,23,169,2,4,49,64,19,24,21,2,169,3,1,17,25,9,8,8,4,169,3,4,29,53,18,14,21,1,169,11,0.61,169,6,0.46,1,1,0,0,0
170,34,45,14,21,34,53,piano,19,FEMALE,UNDECIDED,,1,1,8,NO,1,1,0,1,1,0,60,170,170,6,7,5,18,170,4,6,34,50,20,10,20,2,170,9,1,19,25,8,5,12,10,170,7,9,0,38,14,10,14,2,170,14,0.78,170,9,0.69,1,1,0,0,0
171,27,38,21,31,30,67,flute,19,FEMALE,nursing,,1,1,12,NO,2,1,2,2,0,1,60,171,171,6,8,6,20,171,6,7,11,27,15,7,5,1,171,3,1,6,15,6,6,3,4,171,3,4,0,37,6,13,18,1,171,10,0.56,171,4,0.31,1,1,0,0,0
172,44,56,26,40,38,103,Voice,18,FEMALE,Kinesiology,,1,1,15,NO,2,3,1,0,2,1,60,172,172,9,9,9,27,172,5,8,57,67,20,23,24,3,172,1,1,12,22,8,4,10,2,172,7,7,38,57,17,24,16,0,172,12,0.67,172,9,0.69,1,1,0,0,0
173,31,45,22,37,31,75,piano,19,MALE,Biology,,1,1,13,NO,0,1,0,0,3,1,60,173,173,8,9,9,26,173,1,3,45,64,21,21,22,2,173,2,0,24,34,13,13,8,2,173,2,2,45,66,20,23,23,0,173,8,0.44,173,7,0.54,1,1,0,0,0
174,13,46,7,28,14,47,Piano,20,FEMALE,KINESIOLOGY,,1,1,,NO,0,0,0,0,0,0,0,174,174,9,8,9,26,174,3,4,40,64,21,22,21,1,174,1,0,28,35,12,14,9,1,174,4,4,7,43,14,14,15,0,174,9,0.5,174,7,0.54,1,1,0,0,0
175,40,39,31,27,38,71,flute,22,female,Communication Disorders,,1,1,10,no,8,2,3,8,8,2,30,175,175,9,9,9,27,175,3,3,69,73,23,25,25,0,175,4,0,17,33,12,8,13,4,175,4,8,42,61,23,19,19,4,175,16,0.89,175,9,0.69,1,1,0,0,0
176,50,52,31,30,39,88,Voice,19,FEMALE,Psychology,English,1,1,11,NO,7,3,3,0,7,1,60,176,176,10,10,10,30,176,1,3,37,57,21,19,17,2,176,0,1,24,31,14,9,8,1,176,4,8,28,60,20,18,22,4,176,10,0.56,176,9,0.69,1,1,0,0,0
177,45,52,34,41,37,99,Voice,30,FEMALE,PSYCHOLOGY,MUSIC,1,2,10,NO,10,4,5,1,4,1,120,177,177,11,11,12,34,177,3,3,50,69,21,24,24,0,177,2,0,19,30,11,7,12,2,177,5,5,28,48,12,18,18,0,177,12,0.67,177,8,0.62,1,1,0,0,0
178,28,37,14,29,29,54,clarinet,20,FEMALE,Psychology ,Sociology ,1,1,13,NO,0,0,0,0,2,0,30,178,178,6,4,4,14,178,3,8,3,11,2,4,5,5,178,3,0,4,10,4,4,2,3,178,4,4,3,13,7,3,3,0,178,11,0.61,178,9,0.69,1,1,0,0,0
179,28,49,13,24,32,52,none,19,f,nursing,,1,1,8,no,0,0,2,1,1,0,60,179,179,8,8,6,22,179,4,5,50,62,22,23,17,1,179,2,0,11,26,8,9,9,2,179,4,5,34,54,16,19,19,1,179,10,0.56,179,6,0.46,1,1,0,0,0
180,26,51,11,30,33,62,none,22,FEMALE,Communication Disorders,,1,1,,NO,0,0,1,0,0,0,30,180,180,10,9,9,28,180,1,1,55,72,24,25,23,0,180,0,0,23,31,7,12,12,0,180,4,5,37,50,10,19,21,1,180,14,0.78,180,10,0.77,1,1,0,0,0
181,55,60,7,31,37,71,voice,21,MALE,Kinesiology,,1,1,6,NO,0,0,8,0,0,0,240,181,181,10,6,6,22,181,3,9,4,17,7,3,7,6,181,3,1,2,14,4,4,6,4,181,3,4,3,28,7,11,10,1,181,6,0.33,181,6,0.46,1,1,0,0,0
182,57,56,41,48,41,122,voicepiano,19,FEMALE,Theater Performance,,1,1,8,no,13,2,8,0,13,6,90,182,182,9,6,5,20,182,3,6,14,37,11,12,14,3,182,3,4,7,13,5,7,1,7,182,5,6,11,34,12,17,5,1,182,14,0.78,182,7,0.54,1,1,0,0,0
183,52,43,22,29,36,88,piano,18,male,prephamacy,,1,1,8,no,2,6,9,0,0,1,60,183,183,7,7,5,19,183,4,5,70,72,25,25,22,1,183,3,0,32,38,13,11,14,3,183,5,11,36,65,22,22,21,6,183,10,0.56,183,8,0.62,1,1,0,0,0
184,26,45,16,28,30,67,voice,19,Male,nutrition premed,,1,1,,NO,0,0,2,0,0,0,10,184,184,8,10,8,26,184,3,5,69,69,25,25,19,2,184,1,1,23,32,13,9,10,2,184,2,2,46,67,24,22,21,0,184,11,0.61,184,6,0.46,1,1,0,0,0
185,32,41,27,22,30,62,piano,19,FEMALE,PSYCH,,1,1,9,NO,6,1,4,6,0,1,60,185,185,6,7,7,20,185,7,9,3,15,9,5,1,2,185,3,1,2,16,8,5,3,4,185,4,4,19,38,11,14,13,0,185,14,0.78,185,10,0.77,1,1,0,0,0
186,56,57,31,39,42,106,guitar,21,MALE ,Bioloygy,Kinesiology,1,1,13,no,2,2,20,0,15,2,180,186,186,9,9,12,30,186,3,4,40,62,22,20,20,1,186,0,0,34,40,14,14,12,0,186,1,1,14,45,12,16,17,0,186,11,0.61,186,6,0.46,1,1,0,0,0
187,42,53,20,37,36,87,pianokeyboard,20,female ,Psychology ,,1,1,,No,2,3,1,0,0,1,90,187,187,4,7,6,17,187,2,3,3,12,7,3,2,1,187,2,1,0,9,4,1,4,3,187,2,3,19,37,15,11,11,1,187,11,0.61,187,5,0.38,1,1,0,0,0
